"time (UTC)","pCO2 in water (ppm)","qc_pco2_water","pCO2 in air (ppm)","qc_pco2_air","O2 in water (%)","qc_o2_water","o2_air","O2 in air (%)"
"2023-08-23 18:00:00.000","445.77432","0","417.8338","0","20.39276","0","21.57155","0"
"2023-08-23 21:00:00.000","300.17755","0","411.3166","0","21.849483","0","21.532759","0"
"2023-08-24 00:00:00.000","501.6038","0","406.4402","0","21.361551","0","21.445518","0"
"2023-08-24 03:00:00.000","363.1455","0","410.42722","0","21.64931","0","21.475174","0"
"2023-08-24 06:00:00.000","526.745","0","437.72275","0","21.216381","0","21.446379","0"
"2023-08-24 09:00:00.000","515.2522","0","440.4459","0","20.79069","0","21.279655","0"
"2023-08-24 12:00:00.000","548.04333","0","437.17462","0","20.416895","0","21.223103","0"
"2023-08-24 15:00:00.000","642.99866","0","434.27966","0","19.995691","0","21.33431","0"
"2023-08-24 18:00:00.000","504.43414","0","417.98862","0","20.2731","0","21.454485","0"
"2023-08-24 21:00:00.000","425.18774","0","416.8031","0","20.801723","0","21.360691","0"
"2023-08-25 00:00:00.000","386.40018","0","409.2767","0","21.339483","0","21.192757","0"
"2023-08-25 03:00:00.000","446.3198","0","420.87106","0","21.513966","0","21.27741","0"
"2023-08-25 06:00:00.000","419.24033","0","434.2038","0","21.57224","0","21.20621","0"
"2023-08-25 09:00:00.000","497.28674","0","497.4862","0","21.183966","0","21.233452","0"
"2023-08-25 12:00:00.000","451.3617","0","445.16672","0","21.121555","0","21.220003","0"
"2023-08-25 15:00:00.000","619.8578","0","433.4474","0","20.449312","0","21.21776","0"
"2023-08-25 18:00:00.000","516.1969","0","415.00238","0","20.370691","0","21.159483","0"
"2023-08-25 21:00:00.000","519.1426","0","418.41742","0","20.498104","0","21.266552","0"
"2023-08-26 00:00:00.000","392.53934","0","423.93274","0","21.503277","0","21.436207","0"
"2023-08-26 03:00:00.000","445.12692","0","423.85812","0","21.444483","0","21.362242","0"
"2023-08-26 06:00:00.000","499.00378","0","441.77432","0","21.181896","0","21.321724","0"
"2023-08-26 09:00:00.000","486.75226","0","485.48602","0","20.97345","0","21.228968","0"
"2023-08-26 12:00:00.000","531.7716","0","519.0048","0","20.653446","0","21.207071","0"
"2023-08-26 15:00:00.000","544.75995","0","453.51846","0","20.509827","0","21.305517","0"
"2023-08-26 18:00:00.000","508.6086","0","426.88123","0","20.571724","0","21.373104","0"
"2023-08-26 21:00:00.000","466.9879","0","425.52658","0","20.775002","0","21.35293","0"
"2023-08-27 00:00:00.000","218.26222","0","417.53378","0","22.609829","0","21.228277","0"
"2023-08-27 03:00:00.000","419.9557","0","427.24915","0","22.464655","0","21.312931","0"
"2023-08-27 06:00:00.000","244.49171","0","442.3741","0","23.40603","0","21.276548","0"
"2023-08-27 09:00:00.000","360.21967","0","539.16345","0","22.975174","0","21.141035","0"
"2023-08-27 12:00:00.000","415.92706","0","455.04083","0","22.516033","0","21.141378","0"
"2023-08-27 15:00:00.000","390.93845","0","464.8688","0","22.427412","0","21.205519","0"
"2023-08-27 18:00:00.000","552.9183","0","421.63483","0","21.676378","0","21.323103","0"
"2023-08-27 21:00:00.000","472.74036","0","415.65982","0","21.12138","0","20.990862","0"
"2023-08-28 00:00:00.000","404.90207","0","415.67932","0","21.55707","0","21.160345","0"
"2023-08-28 03:00:00.000","366.49054","0","415.62326","0","22.084656","0","21.305517","0"
"2023-08-28 06:00:00.000","442.24002","0","422.4386","0","21.715517","0","21.195518","0"
"2023-08-28 09:00:00.000","332.61328","0","429.7176","0","22.313793","0","21.30345","0"
"2023-08-28 12:00:00.000","440.42795","0","427.99954","0","21.960003","0","21.277584","0"
"2023-08-28 15:00:00.000","395.1243","0","422.79636","0","21.992762","0","21.332586","0"
"2023-08-28 18:00:00.000","560.4781","0","418.9543","0","21.245865","0","21.379656","0"
"2023-08-28 21:00:00.000","539.8702","0","418.2424","0","20.825346","0","21.36845","0"
"2023-08-29 00:00:00.000","256.6257","0","416.65155","0","22.196896","0","21.347242","0"
"2023-08-29 03:00:00.000","271.53812","0","419.64948","0","22.944656","0","21.371548","0"
"2023-08-29 06:00:00.000","518.12036","0","416.64896","0","21.939655","0","21.351551","0"
"2023-08-29 09:00:00.000","184.84277","0","428.47308","0","23.512241","0","21.28793","0"
"2023-08-29 12:00:00.000","255.70897","0","429.37537","0","23.723104","0","21.28983","0"
"2023-08-29 15:00:00.000","445.13535","0","422.16806","0","22.823103","0","21.300688","0"
"2023-08-29 18:00:00.000","538.85516","0","417.6745","0","21.819828","0","21.32","0"
"2023-08-29 21:00:00.000","739.1804","0","409.25397","0","20.372587","0","21.277756","0"
"2023-08-30 00:00:00.000","218.86137","0","410.37967","0","22.118279","0","21.278275","0"
"2023-08-30 03:00:00.000","291.32297","0","411.45828","0","22.747932","0","21.372585","0"
"2023-08-30 06:00:00.000","512.14795","0","427.94107","0","21.790861","0","21.332241","0"
"2023-08-30 09:00:00.000","788.89795","0","452.98984","0","20.186207","0","21.206726","0"
"2023-08-30 12:00:00.000","377.4976","0","451.23328","0","20.739313","0","21.195173","0"
"2023-08-30 15:00:00.000","547.41705","0","433.12137","0","20.384312","0","21.233448","0"
"2023-08-30 18:00:00.000","535.7804","0","412.8059","0","20.123621","0","21.286724","0"
"2023-08-30 21:00:00.000","681.799","0","415.76398","0","19.481033","0","21.318104","0"
"2023-08-31 00:00:00.000","328.71585","0","411.45428","0","20.625862","0","21.269999","0"
"2023-08-31 03:00:00.000","243.21466","0","411.86276","0","22.037584","0","21.233276","0"
"2023-08-31 06:00:00.000","447.7324","0","440.87637","0","21.617588","0","21.211382","0"
"2023-08-31 09:00:00.000","848.9547","0","440.44412","0","19.934828","0","21.141378","0"
"2023-08-31 12:00:00.000","357.00812","0","428.63965","0","20.571552","0","21.095173","0"
"2023-08-31 15:00:00.000","427.88068","0","419.68793","0","20.687414","0","21.112415","0"
"2023-08-31 18:00:00.000","511.20657","0","419.12982","0","20.463623","0","21.129484","0"
"2023-08-31 21:00:00.000","665.1965","0","427.1002","0","19.70879","0","21.120346","0"
"2023-09-01 00:00:00.000","739.89276","0","413.35876","0","18.84862","0","21.000002","0"
"2023-09-01 03:00:00.000","519.82806","0","421.89548","0","19.29155","0","21.133451","0"
"2023-09-01 06:00:00.000","662.1803","0","436.0105","0","18.964659","0","21.095003","0"
"2023-09-01 09:00:00.000","870.0592","0","451.33395","0","18.237759","0","21.25655","0"
"2023-09-01 12:00:00.000","425.60257","0","450.4","0","19.304485","0","21.210176","0"
"2023-09-01 15:00:00.000","612.2047","0","449.6169","0","19.359484","0","21.393791","0"
"2023-09-01 18:00:00.000","583.1912","0","413.73","0","19.489658","0","21.460688","0"
"2023-09-01 21:00:00.000","706.73755","0","421.0024","0","19.093275","0","21.537413","0"
"2023-09-02 00:00:00.000","795.9356","0","415.83105","0","18.269312","0","21.29655","0"
"2023-09-02 03:00:00.000","353.7593","0","437.36417","0","19.858278","0","21.40155","0"
"2023-09-02 06:00:00.000","506.27704","0","431.79175","0","20.067066","0","21.444653","0"
"2023-09-02 09:00:00.000","873.72455","0","465.04517","0","18.709486","0","21.228966","0"
"2023-09-02 12:00:00.000","890.0122","0","512.711","0","17.935688","0","21.166037","0"
"2023-09-02 15:00:00.000","440.2121","0","454.97296","0","18.999311","0","21.235003","0"
"2023-09-02 18:00:00.000","471.98624","0","421.875","0","19.659138","0","21.377932","0"
"2023-09-02 21:00:00.000","779.31006","0","425.63846","0","18.898966","0","21.400345","0"
"2023-09-03 00:00:00.000","817.23755","0","420.92517","0","18.087757","0","21.198622","0"
"2023-09-03 03:00:00.000","509.93744","0","429.0219","0","18.88069","0","21.308277","0"
"2023-09-03 06:00:00.000","358.56448","0","436.98","0","19.981552","0","21.191381","0"
"2023-09-03 09:00:00.000","810.0515","0","456.5783","0","19.088106","0","21.233967","0"
"2023-09-03 12:00:00.000","899.3781","0","539.7702","0","18.14724","0","21.205692","0"
"2023-09-03 15:00:00.000","431.60394","0","462.36792","0","19.15","0","21.22983","0"
"2023-09-03 18:00:00.000","341.41107","0","434.20728","0","20.509483","0","21.299826","0"
"2023-09-03 21:00:00.000","732.6449","0","419.12085","0","19.634312","0","21.431034","0"
"2023-09-04 00:00:00.000","834.51996","0","408.26376","0","18.609829","0","21.358967","0"
"2023-09-04 03:00:00.000","598.9355","0","411.23828","0","18.721554","0","21.282585","0"
"2023-09-04 06:00:00.000","365.78485","0","412.4795","0","19.868105","0","21.28","0"
"2023-09-05 09:00:00.000","469.65085","0","414.97604","0","20.693275","0","21.33121","0"
"2023-09-05 12:00:00.000","804.91724","0","417.6295","0","19.525171","0","21.320518","0"
"2023-09-05 15:00:00.000","908.9041","0","419.1443","0","18.451725","0","21.297241","0"
"2023-09-05 18:00:00.000","306.73798","0","413.76895","0","20.146893","0","21.315172","0"
"2023-09-05 21:00:00.000","259.77844","0","414.86035","0","21.750349","0","21.442066","0"
"2023-09-06 00:00:00.000","713.5391","0","414.6055","0","20.330173","0","21.298103","0"
"2023-09-06 03:00:00.000","281.8819","0","421.23364","0","21.590693","0","21.321207","0"
"2023-09-06 06:00:00.000","355.92413","0","425.82516","0","21.699312","0","21.253792","0"
"2023-09-06 09:00:00.000","631.97345","0","431.13104","0","20.773104","0","21.357586","0"
"2023-09-06 12:00:00.000","752.3491","0","435.30154","0","19.65845","0","21.315348","0"
"2023-09-06 15:00:00.000","920.33","0","440.74414","0","18.646034","0","21.390171","0"
"2023-09-06 18:00:00.000","888.36383","0","430.52917","0","18.031208","0","21.51328","0"
"2023-09-06 21:00:00.000","263.95624","0","408.80377","0","20.214138","0","21.478796","0"
"2023-09-07 00:00:00.000","389.08566","0","408.91605","0","20.79293","0","21.482073","0"
"2023-09-07 03:00:00.000","541.9229","0","412.71564","0","20.402584","0","21.50397","0"
"2023-09-07 06:00:00.000","500.8929","0","421.03192","0","20.334827","0","21.458796","0"
